province,last_updated,date,change_cases,change_fatalities,change_tests,change_hospitalizations,change_criticals,change_recoveries,change_vaccinations,change_vaccinated,change_vaccines_distributed,total_cases,total_fatalities,total_tests,total_hospitalizations,total_criticals,total_recoveries,total_vaccinations,total_vaccinated,total_vaccines_distributed
,,2020-05-29,4,0,1983,1,0,17,0,,,2555,164,141679,34,6,2170,0,,
,,2020-05-30,11,0,1804,1,-1,11,0,,,2566,164,143483,35,5,2181,0,,
,,2020-05-31,9,0,1844,0,0,0,0,,,2575,164,145327,35,5,2181,0,,
,,2020-06-01,15,1,1338,-3,0,26,0,,,2590,165,146665,32,5,2207,0,,
,,2020-06-02,4,0,1158,-1,3,22,0,,,2594,165,147823,31,8,2229,0,,
,,2020-06-03,22,1,1726,1,-1,14,0,,,2616,166,149549,32,7,2243,0,,
,,2020-06-04,5,0,1909,-6,-1,22,0,,,2621,166,151458,26,6,2265,0,,
,,2020-06-05,1,1,0,-5,-1,7,0,,,2622,167,151458,21,5,2272,0,,
,,2020-06-06,14,0,0,0,0,0,0,,,2636,167,151458,21,5,2272,0,,
,,2020-06-07,7,0,0,0,0,0,0,,,2643,167,151458,21,5,2272,0,,
,,2020-06-08,9,0,0,-5,-1,37,0,,,2652,167,151458,16,4,2309,0,,
,,2020-06-09,9,0,8537,0,0,10,0,,,2661,167,159995,16,4,2319,0,,
,,2020-06-10,12,0,1439,-4,0,9,0,,,2673,167,161434,12,4,2328,0,,
,,2020-06-11,14,0,1922,1,1,16,0,,,2687,167,163356,13,5,2344,0,,
,,2020-06-12,16,1,1900,-1,-2,10,0,,,2703,168,165256,12,3,2354,0,,
,,2020-06-13,14,0,0,0,0,0,0,,,2717,168,165256,12,3,2354,0,,
,,2020-06-14,16,0,0,0,0,0,0,,,2733,168,165256,12,3,2354,0,,
,,2020-06-15,6,0,2992,1,1,41,0,,,2739,168,168248,13,4,2395,0,,
,,2020-06-16,11,0,0,-2,1,21,0,,,2750,168,168248,11,5,2416,0,,
,,2020-06-17,19,0,3335,0,0,6,0,,,2769,168,171583,11,5,2422,0,,
,,2020-06-18,8,0,2024,-1,0,3,0,,,2777,168,173607,10,5,2425,0,,
,,2020-06-19,7,0,0,1,1,19,0,,,2784,168,173607,11,6,2444,0,,
,,2020-06-20,10,0,0,0,0,0,0,,,2794,168,173607,11,6,2444,0,,
,,2020-06-21,6,0,0,0,0,0,0,,,2800,168,173607,11,6,2444,0,,
,,2020-06-22,16,1,0,3,0,27,0,,,2816,169,173607,14,6,2471,0,,
,,2020-06-23,13,1,8097,2,1,20,0,,,2829,170,181704,16,7,2491,0,,
,,2020-06-24,14,1,1664,-2,0,25,0,,,2843,171,183368,14,7,2516,0,,
,,2020-06-25,19,2,2470,1,0,1,0,,,2862,173,185838,15,7,2517,0,,
