County,Province_State,Country_Region,n,Population
Sussex,New Jersey,US,10,149265
Unassigned,New Jersey,US,18,
Union,New Jersey,US,18,536499
Warren,New Jersey,US,7,108692
NA,New Jersey,US,6,8791894
Bernalillo,New Mexico,US,11,662564
San Juan,New Mexico,US,3,130044
Sandoval,New Mexico,US,4,131561
Albany,New York,US,18,304204
Dutchess,New York,US,16,297488
Erie,New York,US,16,919040
Monroe,New York,US,16,744344
Nassau,New York,US,18,1339532
New York City,New York,US,18,8623000
Niagara,New York,US,5,216469
Oneida,New York,US,2,234878
Onondaga,New York,US,14,467026
Orange,New York,US,18,372813
Putnam,New York,US,13,99710
Rockland,New York,US,18,311687
Saratoga,New York,US,11,219607
Schenectady,New York,US,7,154727
Suffolk,New York,US,18,1493350
Sullivan,New York,US,10,77547
Tompkins,New York,US,3,101564
Ulster,New York,US,12,182493
Unassigned,New York,US,1,
Westchester,New York,US,18,949113
NA,New York,US,12,19378102
Durham,North Carolina,US,12,267587
Forsyth,North Carolina,US,2,350670
Guilford,North Carolina,US,3,488406
Mecklenburg,North Carolina,US,16,919628
Wake,North Carolina,US,13,900993
NA,North Carolina,US,3,9535483
Butler,Ohio,US,1,368130
Cuyahoga,Ohio,US,18,1280122
Franklin,Ohio,US,14,1163414
Hamilton,Ohio,US,10,802374
Lorain,Ohio,US,5,301356
Lucas,Ohio,US,10,441815
Mahoning,Ohio,US,10,238823
Miami,Ohio,US,2,102506
Montgomery,Ohio,US,3,535153
Portage,Ohio,US,2,161419
Stark,Ohio,US,3,375586
Summit,Ohio,US,10,541781
Trumbull,Ohio,US,3,210312
NA,Ohio,US,3,11536504
Cleveland,Oklahoma,US,7,255755
Oklahoma,Oklahoma,US,12,3751351
Tulsa,Oklahoma,US,8,603403
Marion,Oregon,US,11,315335
Multnomah,Oregon,US,9,735334
Washington,Oregon,US,14,529710
NA,Oregon,US,2,3831074
Allegheny,Pennsylvania,US,14,1223348
Beaver,Pennsylvania,US,2,170539
Berks,Pennsylvania,US,9,411442
Bucks,Pennsylvania,US,14,625249
Butler,Pennsylvania,US,2,183862
Chester,Pennsylvania,US,13,498886
Dauphin,Pennsylvania,US,4,268100
Delaware,Pennsylvania,US,15,558979
Lackawanna,Pennsylvania,US,7,214437
Lancaster,Pennsylvania,US,9,519445
Lebanon,Pennsylvania,US,4,133568
Lehigh,Pennsylvania,US,12,349497
Luzerne,Pennsylvania,US,10,320918
Monroe,Pennsylvania,US,12,169842
Montgomery,Pennsylvania,US,18,799874
Northampton,Pennsylvania,US,11,297735
Philadelphia,Pennsylvania,US,17,1526006
Pike,Pennsylvania,US,4,57369
Schuylkill,Pennsylvania,US,3,148289
Westmoreland,Pennsylvania,US,6,365169
York,Pennsylvania,US,7,434972
NA,Pennsylvania,US,5,12702379
NA,Puerto Rico,US,11,3195000
Kent,Rhode Island,US,2,166158
Providence,Rhode Island,US,11,626667
Unassigned,Rhode Island,US,10,
Washington,Rhode Island,US,1,126979
Beaufort,South Carolina,US,8,162233
Charleston,South Carolina,US,12,350209
Greenville,South Carolina,US,9,451225
Kershaw,South Carolina,US,9,61697
Lexington,South Carolina,US,4,262391
Richland,South Carolina,US,10,384504
Spartanburg,South Carolina,US,2,284307
Sumter,South Carolina,US,2,107456
York,South Carolina,US,2,226073
NA,South Carolina,US,2,4625364
Minnehaha,South Dakota,US,4,169468
Davidson,Tennessee,US,18,626681
Knox,Tennessee,US,4,432226
Out of TN,Tennessee,US,14,
Rutherford,Tennessee,US,7,262604
Shelby,Tennessee,US,16,927644
Sumner,Tennessee,US,10,160645
Unassigned,Tennessee,US,7,
Williamson,Tennessee,US,11,183182
Wilson,Tennessee,US,2,113993
NA,Tennessee,US,3,6346105
Bexar,Texas,US,13,1714773
Brazoria,Texas,US,7,313166
Brazos,Texas,US,1,194851
Cameron,Texas,US,2,406220
Collin,Texas,US,12,782341
Dallas,Texas,US,18,2368139
Denton,Texas,US,13,662614
El Paso,Texas,US,5,800647
Fort Bend,Texas,US,13,585375
Galveston,Texas,US,8,291309
Harris,Texas,US,16,4092459
Hidalgo,Texas,US,2,774769
Lubbock,Texas,US,7,278831
Montgomery,Texas,US,8,455746
Tarrant,Texas,US,13,1809034
Travis,Texas,US,14,1024266
Webb,Texas,US,3,250304
NA,Texas,US,5,25145561
Davis,Utah,US,7,306479
Salt Lake,Utah,US,17,1029655
Summit,Utah,US,13,36324
Utah,Utah,US,7,516564
NA,Utah,US,1,2763885
Chittenden,Vermont,US,12,156545
Alexandria,Virginia,US,2,144301
Arlington,Virginia,US,9,207627
Chesterfield,Virginia,US,5,316236
Fairfax,Virginia,US,13,1081726
Henrico,Virginia,US,6,306935
James City,Virginia,US,6,67009
Loudoun,Virginia,US,8,312311
Prince William,Virginia,US,8,402002
Richmond City,Virginia,US,3,204214
Virginia Beach,Virginia,US,7,442707
NA,Virginia,US,2,8001024
Benton,Washington,US,9,175177
Clark,Washington,US,9,425363
Island,Washington,US,10,78506
King,Washington,US,18,1931249
Kitsap,Washington,US,4,251133
Pierce,Washington,US,18,795225
Skagit,Washington,US,10,116901
Snohomish,Washington,US,18,713335
Spokane,Washington,US,12,471221
Unassigned,Washington,US,14,
Whatcom,Washington,US,12,201140
Yakima,Washington,US,11,243231
NA,Washington,US,12,6724540
Dane,Wisconsin,US,14,488073
Kenosha,Wisconsin,US,3,166426
Milwaukee,Wisconsin,US,18,947735
Waukesha,Wisconsin,US,9,389891
NA,Wisconsin,US,3,5686986
NA,NA,Uruguay,19,3473727
NA,Channel Islands,United Kingdom,11,170499
NA,Gibraltar,United Kingdom,4,34571
NA,Isle of Man,United Kingdom,6,84287
NA,UK,United Kingdom,2,67886004
NA,United Kingdom,United Kingdom,9,67886004
NA,NA,United Kingdom,18,67886004
NA,NA,United Arab Emirates,22,9890400
NA,NA,Ukraine,15,43733759
NA,NA,UK,6,67886004
NA,NA,Turkey,21,84339067
NA,NA,Tunisia,16,11818618
NA,NA,Trinidad and Tobago,5,1399491
NA,NA,Thailand,25,69799978
NA,NA,Taiwan,21,23780000
NA,NA,Switzerland,35,8654618
NA,NA,Sweden,34,10099270
NA,NA,Sri Lanka,16,21413250
NA,NA,Spain,38,46754783
NA,NA,South Korea,19,51470000
NA,NA,South Africa,22,59308690
NA,NA,Slovenia,27,2078932
NA,NA,Slovakia,22,5459643
NA,NA,Singapore,40,5850343
NA,NA,Serbia,21,8737370
NA,NA,Senegal,14,16743930
NA,NA,Saudi Arabia,26,34813867
NA,NA,San Marino,25,33938
NA,NA,Rwanda,5,12952209
NA,NA,Russia,23,145934462
NA,NA,Romania,26,19237682
NA,NA,Republic of Korea,1,51269183
NA,NA,Qatar,29,2881060
NA,NA,Portugal,27,10196707
NA,NA,Poland,26,37846605
NA,NA,Philippines,26,109581085
NA,NA,Peru,23,32971846
NA,NA,Paraguay,4,7132530
NA,NA,Panama,21,4314768
NA,NA,Pakistan,24,220892331
NA,Diamond Princess cruise ship,Others,30,
NA,NA,Oman,14,5106622
NA,NA,Norway,34,5421242
NA,NA,North Macedonia,18,2083380
NA,NA,Nigeria,11,206139587
NA,NA,Niger,6,24206636
NA,NA,New Zealand,18,4822233
NA,Netherlands,Netherlands,6,17134873
NA,NA,Netherlands,28,17134873
NA,NA,Morocco,18,36910558
NA,NA,Montenegro,9,628062
NA,NA,Moldova,17,3550000
NA,NA,Mexico,21,128932753
NA,NA,Mauritius,12,1271767
NA,NA,Malta,17,441539
NA,NA,Malaysia,31,32365998
